,mu_max,OD_max,OD_min,nOD,Ktox,ntox,Kb,synt,Ki,degt,syna,Ka,dega,ti,IPTG,ta,Ara,OD_init
1,0.024209138,0.994666667,0.047923131,0.198667465,5.80E-06,2.081912392,1.39E-06,1.13E-07,0.035246397,2.80E-06,1.10E-07,1.516553775,7.29E-06,60,0.1,3.60E+02,1.00E-01,0.08
2,0.016662091,0.994666667,0.061598192,0.291264656,6.75E-06,2.128042357,8.24E-07,1.29E-07,0.03297792,5.33E-06,5.56E-08,1.251490471,1.03E-05,60,0.1,3.60E+02,1.00E-01,0.08
3,0.049851553,0.994666667,0.037233713,0.093791184,1.02E-05,2.039496148,6.27E-07,2.03E-07,0.038334605,2.80E-06,5.71E-08,1.758388584,9.51E-06,60,0.1,3.60E+02,1.00E-01,0.08
4,0.017962524,0.994666667,0.057550713,0.270510849,1.06E-05,2.120829561,1.56E-06,2.03E-07,0.033373232,4.23E-06,1.09E-07,1.313092518,9.18E-06,60,0.1,3.60E+02,1.00E-01,0.08
5,0.043030981,0.994666667,0.036604849,0.110088826,1.12E-05,2.053044533,1.26E-06,2.22E-07,0.037590309,3.40E-06,1.08E-07,1.660875819,7.93E-06,60,0.1,3.60E+02,1.00E-01,0.08
6,0.031566498,0.994666667,0.040928684,0.151722742,2.92E-06,2.065240726,9.19E-07,5.74E-08,0.036443514,3.25E-06,7.63E-08,1.609004656,9.13E-06,60,0.1,3.60E+02,1.00E-01,0.08
7,0.02266361,0.994666667,0.047522349,0.214525523,1.26E-05,2.104554916,1.15E-06,2.43E-07,0.034473107,7.45E-06,8.35E-08,1.369091608,1.14E-05,60,0.1,3.60E+02,1.00E-01,0.08
8,0.005051443,0.994666667,0.215541859,0.899541127,7.69E-06,2.267830846,1.18E-06,1.36E-07,0.024158604,5.56E-06,6.64E-08,0.976828313,5.21E-06,60,0.1,3.60E+02,1.00E-01,0.08
9,0.010778017,0.994666667,0.094053815,0.44576197,4.55E-06,2.160611038,8.99E-07,8.48E-08,0.030294003,5.21E-06,5.95E-08,1.216553387,1.29E-05,60,0.1,3.60E+02,1.00E-01,0.08
10,0.013889167,0.994666667,0.072269751,0.349539079,1.68E-05,2.133159444,3.37E-07,3.17E-07,0.03181907,9.36E-06,2.40E-08,1.345375026,8.17E-06,60,0.1,3.60E+02,1.00E-01,0.08
11,0.011922454,0.994666667,0.0852907,0.403721454,1.34E-05,2.153711709,3.49E-07,2.51E-07,0.030960804,5.92E-06,2.30E-08,1.207545827,1.08E-05,60,0.1,3.60E+02,1.00E-01,0.08
12,0.024313882,0.994666667,0.047008193,0.198290608,4.99E-06,2.100443613,1.78E-06,9.67E-08,0.035064743,4.39E-06,1.28E-07,1.358167549,7.04E-06,60,0.1,3.60E+02,1.00E-01,0.08
13,0.016842211,0.994666667,0.060054697,0.289279944,2.54E-06,2.132951836,9.99E-07,4.83E-08,0.032884518,6.67E-06,6.69E-08,1.243728275,1.04E-05,60,0.1,3.60E+02,1.00E-01,0.08
14,0.016330915,0.994666667,0.06573128,0.293992816,4.41E-06,2.105260786,8.04E-07,8.48E-08,0.033330344,6.64E-06,6.16E-08,1.463197039,9.70E-06,60,0.1,3.60E+02,1.00E-01,0.08
15,0.032527375,0.994666667,0.039217873,0.147697219,8.34E-06,2.081056805,4.64E-07,1.63E-07,0.036232521,3.86E-06,3.57E-08,1.459679759,9.59E-06,60,0.1,3.60E+02,1.00E-01,0.08
16,0.023854673,0.994666667,0.046978765,0.202635255,4.53E-06,2.108498061,1.63E-06,8.75E-08,0.034791485,7.03E-06,1.15E-07,1.329024224,6.06E-06,60,0.1,3.60E+02,1.00E-01,0.08
17,0.016550116,0.994666667,0.065409199,0.289489496,2.69E-06,2.103180056,5.66E-07,5.16E-08,0.033427525,5.08E-06,4.46E-08,1.531815606,1.00E-05,60,0.1,3.60E+02,1.00E-01,0.08
18,0.020663193,0.994666667,0.053769424,0.232855581,6.34E-06,2.091742979,1.74E-07,1.23E-07,0.034439642,5.49E-06,1.41E-08,1.56077078,1.37E-05,60,0.1,3.60E+02,1.00E-01,0.08
19,0.04285679,0.994666667,0.037273133,0.11025482,8.51E-06,2.058248162,2.09E-06,1.69E-07,0.03755885,3.18E-06,1.75E-07,1.603956253,8.55E-06,60,0.1,3.60E+02,1.00E-01,0.08
20,0.052679055,0.994666667,0.03795379,0.088283959,1.98E-05,2.033027943,8.37E-07,3.98E-07,0.038694006,2.80E-06,7.72E-08,1.773073182,3.85E-06,60,0.1,3.60E+02,1.00E-01,0.08
